text,font_name,size,weight,italic,p-touch_width,p-touch_height,skia_width,skia_height,skia_width_diff_pct,skia_height_diff_pct,core_text_width,core_text_height,core_text_width_diff_pct,core_text_height_diff_pct,pango_width,pango_height,pango_width_diff_pct,pango_height_diff_pct,harfbuzz_width,harfbuzz_height,harfbuzz_width_diff_pct,harfbuzz_height_diff_pct,freetype_width,freetype_height,freetype_width_diff_pct,freetype_height_diff_pct,pil_width,pil_height,pil_width_diff_pct,pil_height_diff_pct,approximation_width,approximation_height,approximation_width_diff_pct,approximation_height_diff_pct
1,Arial,45.7,normal,No,12.9,51.1,25.416162490844727,54.84,97.02451543290486,7.318982387475542,21.730818603515626,46.92,68.4559581667878,-8.180039138943247,32.3,69.0,150.38759689922477,35.0293542074364,22.874545898437503,48.890966796875,77.3220612281977,-4.32296125856165,13.0,30.6375,0.7751937984496096,-40.044031311154605,12.5,38.4,-3.1007751937984525,-24.853228962818008,10.968000000000002,49.356,-14.976744186046501,-3.412915851272015
ab,Arial,45.7,normal,No,48.2,51.1,50.83232498168945,54.84,5.461255148733299,7.318982387475542,48.2907080078125,46.92,0.1881908875777902,-8.180039138943247,68.0,69.0,41.078838174273855,35.0293542074364,50.83232421875,48.890966796875,5.4612535658713695,-4.32296125856165,52.0,30.6375,7.883817427385886,-40.044031311154605,50.0,38.4,3.73443983402489,-24.853228962818008,43.87200000000001,49.356,-8.979253112033186,-3.412915851272015
abcdefghi,Arial,45.7,normal,No,194.3,51.1,198.19699096679688,54.84,2.0056566993293172,7.318982387475542,188.28712402343749,46.92,-3.094635088297749,-8.180039138943247,265.0,69.0,36.387030365414304,35.0293542074364,198.19697265625,48.890966796875,2.005647275476068,-4.32296125856165,202.0,30.6375,3.9629439011837304,-40.044031311154605,195.0,49.199999999999996,0.3602676273803338,-3.718199608610578,197.424,49.356,1.607822954194542,-3.412915851272015
abcdefghi,Helsinki,45.7,normal,No,194.2,58.9,226.6166633605957,54.84,16.692411617196562,-6.893039049235986,178.377275390625,52.25,-8.147643980110713,-11.29032258064516,267.65,62.0,37.82183316168898,5.263157894736844,220.1418984375,49.114111328125,13.358341110968084,-16.61441200657895,236.50000000000003,51.5,21.781668383110215,-12.563667232597622,238.70000000000002,86.0,22.91452111225542,46.01018675721562,222.102,60.324000000000005,14.3676622039135,2.4176570458404187
ab,Helsinki,45.7,normal,No,48.4,58.9,55.998120117187504,54.84,15.698595283445261,-6.893039049235986,45.74909179687501,52.25,-5.477083064307835,-11.29032258064516,68.68,62.0,41.90082644628101,5.263157894736844,54.398173828125,49.114111328125,12.392921132489679,-16.61441200657895,58.300000000000004,51.5,20.454545454545467,-12.563667232597622,60.50000000000001,68.0,25.000000000000018,15.449915110356539,49.356,60.324000000000005,1.9752066115702545,2.4176570458404187
1,Helsinki,45.7,normal,No,12.5,58.9,26.686970615386965,54.84,113.49576492309572,-6.893039049235986,20.587091308593752,52.25,64.69673046875002,-11.29032258064516,32.623,62.0,160.98399999999998,5.263157894736844,23.33203681640625,49.114111328125,86.65629453125001,-16.61441200657895,13.750000000000002,51.5,10.000000000000014,-12.563667232597622,13.750000000000002,66.0,10.000000000000014,12.05432937181664,12.339,60.324000000000005,-1.2879999999999967,2.4176570458404187
1,Helsinki Narrow,45.7,normal,No,10.4,58.9,21.883784580230714,54.84,110.42100557914148,-6.893039049235986,15.943899902343752,49.5,53.30672983022837,-15.95925297113752,31.653999999999996,62.0,204.3653846153846,5.263157894736844,18.382378710937502,49.114111328125006,76.75364145132212,-16.614412006578934,10.5,49.9375,0.9615384615384581,-15.216468590831916,10.5,66.0,0.9615384615384581,12.05432937181664,9.14,60.324000000000005,-12.115384615384613,2.4176570458404187
ab,Helsinki Narrow,45.7,normal,No,39.8,58.9,43.76756916046143,54.84,9.968766734827716,-6.893039049235986,35.430888671875,49.5,-10.977666653580389,-15.95925297113752,66.64,62.0,67.43718592964825,5.263157894736844,40.84973046875,49.114111328125006,2.6375137405779054,-16.614412006578934,42.0,49.9375,5.527638190954781,-15.216468590831916,41.0,68.0,3.01507537688443,15.449915110356539,36.56,60.324000000000005,-8.140703517587927,2.4176570458404187
abcdefghi,Helsinki Narrow,45.7,normal,No,159.4,58.9,170.6654067993164,54.84,7.06738193181706,-6.893039049235986,138.157705078125,49.5,-13.326408357512557,-15.95925297113752,259.7,62.0,62.92346298619823,5.263157894736844,159.28770703125002,49.114111328125006,-0.07044728277916149,-16.614412006578934,163.0,49.9375,2.2584692597239613,-15.216468590831916,160.0,86.0,0.3764115432873239,46.01018675721562,164.52,60.324000000000005,3.2120451693851972,2.4176570458404187
abcdefghi,Comic Sans MS,45.7,normal,No,209.3,63.7,198.19699096679688,54.84,-5.3048299250851105,-13.908948194662479,206.16881103515627,61.74,-1.4960291279712108,-3.076923076923078,276.36,87.72,32.04013377926421,37.70800627943484,198.19699096679688,54.84,-5.3048299250851105,-13.908948194662479,198.19699096679688,54.84,-5.3048299250851105,-13.908948194662479,198.19699096679688,54.84,-5.3048299250851105,-13.908948194662479,234.441,63.066,12.011944577161964,-0.995290423861853
